	gene_name	DE
1080	Mir10a	No
505	Mir152	No
506	Mir8103	No
511	Mir6928	No
512	Mir6929	Down
513	Mir8101	No
515	Mir6931	No
516	Mir3064	No
517	Mir6932	No
1083	Mir3968	No
518	Mir5621	No
519	Mir6516	No
520	Mir6933	No
521	Mir6934	No
1084	Mir1932	No
523	Mir6935	No
524	Mir6936	No
525	Mir7236	No
526	Mir7675	No
528	Mir3066	Up
529	Mir6538	Down
530	Mir6937	No
1094	Mir5099	No
531	Mir1938	No
1095	Mir5627	No
534	Mir5101	No
1096	Mir5135	No
535	Mir1843a	No
538	Mir3068	No
541	Mir3069	No
542	Mir342	No
543	Mir345	No
1108	Mir127	Up
1140	Mir203	No
566	Mir6939	No
567	Mir6940	No
571	Mir153	No
1087	Mir1983	No
576	Mirlet7d	No
578	Mirlet7a-1	No
579	Mir6943	No
580	Mir6944	No
581	Mir6945	No
582	Mir874	No
584	Mir7-1	Up
585	Mir23b	No
586	Mir27b	No
593	Mir582	No
595	Mir449c	No
597	Mir449a	Up
598	Mir6946	No
599	Mir3075	No
600	Mir7672	No
601	Mir6947	No
602	Mir3076	No
604	Mir5131	No
1030	Mir378c	Down
606	Mir6948	No
607	Mir208a	Down
608	Mir208b	Down
610	Mir3077	No
612	Mir16-1	No
613	Mir15a	No
614	Mir8098	No
616	Mir598	No
619	Mir6539	No
1032	Mir320	No
624	Mir17	No
625	Mir18	No
626	Mir19a	No
627	Mir20a	Up
628	Mir19b-1	No
629	Mir92-1	No
633	Mir7212	No
634	Mir7117	No
635	Mir8097	No
636	Mir6951	No
638	Mir28c	No
1145	Mir30b	No
639	Mir30d	No
640	Mir151	No
641	Mir6952	No
643	Mir6953	No
1147	Mir3079	No
644	Mir6954	Down
647	Mir6955	No
648	Mir6956	No
649	Mir1943	No
652	Mir5113	No
653	Mir33	No
657	Mir1249	No
658	Mirlet7c-2	No
659	Mirlet7b	No
660	Mir7118	No
661	Mir6958	No
662	Mir6959	No
663	Mir7648	No
664	Mir1291	No
665	Mir6960	No
668	Mir1941	No
670	Mir196a-2	No
671	Mir615	No
672	Mir148b	No
673	Mir6963	No
1149	Mir1945	No
1150	Mir193b	No
1151	Mir365-1	No
1153	Mir484	No
675	Mir130b	No
676	Mir301b	No
677	Mir1306	No
678	Mir185	No
680	Mir7680	No
682	Mir28a	No
684	Mir1947	No
685	Mir6540	No
687	Mir3081	No
689	Mir99a	No
690	Mirlet7c-1	No
691	Mir125b-2	No
692	Mir155	Up
694	Mir99b	No
696	Mir125a	No
697	Mir5125	No
699	Mir6965	No
701	Mir6966	No
702	Mir3082	No
703	Mir6968	No
704	Mir7677	No
1166	Mir219a-1	No
711	Mir6971	No
716	Mir6975	No
717	Mir8094	Down
719	Mir877	No
721	Mir6976	No
1168	Mir7b	No
722	Mir6977	No
727	Mir133a-1	Down
730	Mir1948	No
1173	Mir187	No
731	Mir1949	No
732	Mir6979	No
1177	Mir145a	No
1178	Mir143	No
740	Mir122	No
741	Mir694	No
745	Mir6984	No
747	Mir6986	No
749	Mir6988	No
1184	Mir194-2	No
1185	Mir192	No
750	Mir6989	No
752	Mir6990	No
753	Mir6991	No
756	Mir6994	No
757	Mir204	No
760	Mir101b	No
761	Mir107	No
762	Mir1950	No
763	Mir5114	Down
765	Mir146b	No
766	Mir6995	No
770	Mir5623	No
771	Mir3086	No
773	Mir500	Down
774	Mir501	Down
775	Mir362	Down
776	Mir188	No
777	Mir532	Down
778	Mir1198	No
865	Mir221	Up
866	Mir222	Up
779	Mir5617	No
867	Mir3110	No
869	Mir92-2	No
870	Mir19b-2	No
873	Mir106a	No
874	Mir450b	No
875	Mir450-1	No
876	Mir450-2	Down
877	Mir542	No
878	Mir351	Down
879	Mir503	Down
880	Mir322	No
782	Mir5116	No
784	Mir505	No
881	Mir743	No
882	Mir743b	Up
883	Mir742	No
884	Mir883a	No
886	Mir471	No
887	Mir741	No
888	Mir463	No
889	Mir880	No
890	Mir878	No
891	Mir881	No
892	Mir871	No
893	Mir470	No
899	Mir465	No
900	Mir201	No
901	Mir547	No
785	Mir224	Up
786	Mir452	No
790	Mir5132	No
791	Mir7091	No
796	Mir676	No
797	Mir421	No
801	Mir361	No
802	Mir3112	No
803	Mir7093	No
805	Mir652	No
813	Mir3113	No
814	Mirlet7f-2	Up
815	Mir98	Up
