gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000106597,darkgrey,darkgrey,1.0,Mir7021,miRNA
ENSMUSG00000099043,darkgrey,darkgrey,1.0,Mir7022,miRNA
ENSMUSG00000065427,darkgrey,darkgrey,1.0,Mir429,miRNA
ENSMUSG00000065400,darkgrey,darkgrey,1.0,Mir200a,miRNA
ENSMUSG00000065549,darkgrey,darkgrey,1.0,Mir200b,miRNA
ENSMUSG00000098954,darkgrey,darkgrey,1.0,Mir7658,miRNA
ENSMUSG00000077896,darkgrey,darkgrey,1.0,Mir879,miRNA
ENSMUSG00000076387,darkgrey,darkgrey,1.0,Mir671,miRNA
ENSMUSG00000099082,darkgrey,darkgrey,1.0,Mir7036b,miRNA
ENSMUSG00000093097,darkgrey,darkgrey,1.0,Mir3097,miRNA
ENSMUSG00000065603,darkgrey,darkgrey,1.0,Mir218-1,miRNA
ENSMUSG00000093690,darkgrey,darkgrey,1.0,Mir5619,miRNA
ENSMUSG00000099284,darkgrey,darkgrey,1.0,Mir7026,miRNA
ENSMUSG00000076163,darkgrey,darkgrey,1.0,Mir701,miRNA
ENSMUSG00000099063,darkgrey,darkgrey,1.0,Mir7031,miRNA
ENSMUSG00000098951,darkgrey,darkgrey,1.0,Mir7647,miRNA
ENSMUSG00000076240,darkgrey,darkgrey,1.0,Mir702,miRNA
ENSMUSG00000065527,darkgrey,darkgrey,1.0,Mir93,miRNA
ENSMUSG00000065514,darkgrey,darkgrey,1.0,Mir106b,miRNA
ENSMUSG00000076067,darkgrey,darkgrey,1.0,Mir592,miRNA
ENSMUSG00000092956,darkgrey,darkgrey,1.0,,
ENSMUSG00000065586,darkgrey,darkgrey,1.0,Mir96,miRNA
ENSMUSG00000065501,darkgrey,darkgrey,1.0,Mir335,miRNA
ENSMUSG00000065604,darkgrey,darkgrey,1.0,Mir29b-1,miRNA
ENSMUSG00000065443,darkgrey,darkgrey,1.0,Mir196b,miRNA
ENSMUSG00000099035,darkgrey,darkgrey,1.0,Mir7040,miRNA
ENSMUSG00000106591,darkgrey,darkgrey,1.0,,
ENSMUSG00000105697,darkgrey,darkgrey,1.0,Mir7661,miRNA
ENSMUSG00000106581,darkgrey,darkgrey,1.0,Mir7042,miRNA
ENSMUSG00000065474,darkgrey,darkgrey,1.0,Mir141,miRNA
ENSMUSG00000065462,darkgrey,darkgrey,1.0,Mir200c,miRNA
ENSMUSG00000078008,darkgrey,darkgrey,1.0,Mir291a,miRNA
ENSMUSG00000078032,darkgrey,darkgrey,1.0,Mir291b,miRNA
ENSMUSG00000078035,darkgrey,darkgrey,1.0,Mir293,miRNA
ENSMUSG00000077903,darkgrey,darkgrey,1.0,Mir294,miRNA
ENSMUSG00000077886,darkgrey,darkgrey,1.0,Mir295,miRNA
ENSMUSG00000094210,darkgrey,darkgrey,1.0,Mir935,miRNA
ENSMUSG00000093290,darkgrey,darkgrey,1.0,Mir3572,miRNA
ENSMUSG00000093348,darkgrey,darkgrey,1.0,Mir3101,miRNA
ENSMUSG00000080533,darkgrey,darkgrey,1.0,Mir1191,miRNA
ENSMUSG00000106236,darkgrey,darkgrey,1.0,Mir9769,miRNA
ENSMUSG00000093108,darkgrey,darkgrey,1.0,Mir344f,miRNA
ENSMUSG00000065585,darkgrey,darkgrey,1.0,Mir211,miRNA
ENSMUSG00000098353,darkgrey,darkgrey,1.0,Mir7057,miRNA
ENSMUSG00000065609,darkgrey,darkgrey,1.0,Mir7-2,miRNA
ENSMUSG00000093238,darkgrey,darkgrey,1.0,Mir9-3,miRNA
ENSMUSG00000076143,darkgrey,darkgrey,1.0,Mir708,miRNA
ENSMUSG00000098593,darkgrey,darkgrey,1.0,Mir7064,miRNA
ENSMUSG00000098917,darkgrey,darkgrey,1.0,Mir7654,miRNA
ENSMUSG00000104958,darkgrey,darkgrey,1.0,Mir7238,miRNA
ENSMUSG00000065457,darkgrey,darkgrey,1.0,Mir383,miRNA
ENSMUSG00000088248,darkgrey,darkgrey,1.0,Mir1969,miRNA
ENSMUSG00000076338,darkgrey,darkgrey,1.0,Mir181d,miRNA
ENSMUSG00000065483,darkgrey,darkgrey,1.0,Mir181c,miRNA
ENSMUSG00000065611,darkgrey,darkgrey,1.0,Mir23a,miRNA
