gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000099275,gainsboro,gainsboro,3.0,Mir8107,miRNA
ENSMUSG00000106193,gainsboro,gainsboro,3.0,Mir7090,miRNA
ENSMUSG00000065414,gainsboro,gainsboro,3.0,Mir138-1,miRNA
ENSMUSG00000093017,gainsboro,gainsboro,3.0,Mir5108,miRNA
ENSMUSG00000099185,gainsboro,gainsboro,3.0,Mir7662,miRNA
ENSMUSG00000098562,gainsboro,gainsboro,3.0,Mir6910,miRNA
ENSMUSG00000098811,gainsboro,gainsboro,3.0,Mir6913,miRNA
ENSMUSG00000098544,gainsboro,gainsboro,3.0,Mir7211,miRNA
ENSMUSG00000099088,gainsboro,gainsboro,3.0,,
ENSMUSG00000065430,gainsboro,gainsboro,3.0,Mir26a-2,miRNA
ENSMUSG00000072837,gainsboro,gainsboro,3.0,Mir546,miRNA
ENSMUSG00000092885,gainsboro,gainsboro,3.0,Gm22123,miRNA
ENSMUSG00000106362,gainsboro,gainsboro,3.0,Gm47279,miRNA
ENSMUSG00000065539,gainsboro,gainsboro,3.0,Mir216a,miRNA
ENSMUSG00000065415,gainsboro,gainsboro,3.0,Mir217,miRNA
ENSMUSG00000098942,gainsboro,gainsboro,3.0,Mir8100,miRNA
ENSMUSG00000098474,gainsboro,gainsboro,3.0,Mir6919,miRNA
ENSMUSG00000105908,gainsboro,gainsboro,3.0,Mir6920,miRNA
ENSMUSG00000098547,gainsboro,gainsboro,3.0,Mir6921,miRNA
ENSMUSG00000092734,gainsboro,gainsboro,3.0,Mir5100,miRNA
ENSMUSG00000105932,gainsboro,gainsboro,3.0,Mir6925,miRNA
ENSMUSG00000098317,gainsboro,gainsboro,3.0,Mir6926,miRNA
ENSMUSG00000065401,gainsboro,gainsboro,3.0,Mir144,miRNA
ENSMUSG00000065455,gainsboro,gainsboro,3.0,Mir21a,miRNA
ENSMUSG00000098774,gainsboro,gainsboro,3.0,Mir6930,miRNA
