gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000093011,black,black,0.0,Mir100,miRNA
ENSMUSG00000092770,black,black,0.0,Mirlet7a-2,miRNA
ENSMUSG00000093354,black,black,0.0,Mir125b-1,miRNA
ENSMUSG00000099309,black,black,0.0,Mir7085,miRNA
ENSMUSG00000065587,black,black,0.0,Mir34c,miRNA
ENSMUSG00000076379,black,black,0.0,Mir190a,miRNA
ENSMUSG00000098521,black,black,0.0,Mir7243,miRNA
ENSMUSG00000065440,black,black,0.0,Mirlet7g,miRNA
ENSMUSG00000065441,black,black,0.0,Mir128-2,miRNA
ENSMUSG00000098885,black,black,0.0,Mir7659,miRNA
ENSMUSG00000098414,black,black,0.0,Mir6909,miRNA
ENSMUSG00000098672,black,black,0.0,Mir6911,miRNA
ENSMUSG00000099283,black,black,0.0,Mir6912,miRNA
ENSMUSG00000092781,black,black,0.0,Mir3057,miRNA
ENSMUSG00000105379,black,black,0.0,Mir1191b,miRNA
ENSMUSG00000065607,black,black,0.0,Mir331,miRNA
ENSMUSG00000098544,black,black,0.0,Mir7211,miRNA
ENSMUSG00000092952,black,black,0.0,Mir3059,miRNA
ENSMUSG00000076448,black,black,0.0,Mir763,miRNA
ENSMUSG00000065406,black,black,0.0,Mirlet7i,miRNA
ENSMUSG00000098756,black,black,0.0,Mir378d,miRNA
ENSMUSG00000065430,black,black,0.0,Mir26a-2,miRNA
ENSMUSG00000104755,black,black,0.0,Mir677,miRNA
ENSMUSG00000105001,black,black,0.0,,
ENSMUSG00000098592,black,black,0.0,Mir6917,miRNA
ENSMUSG00000065553,black,black,0.0,Mir103-1,miRNA
ENSMUSG00000065601,black,black,0.0,Mir146,miRNA
ENSMUSG00000099259,black,black,0.0,Mir6922,miRNA
ENSMUSG00000098855,black,black,0.0,Mir6923,miRNA
ENSMUSG00000092727,black,black,0.0,Mir3062,miRNA
ENSMUSG00000088752,black,black,0.0,Mir1934,miRNA
ENSMUSG00000065411,black,black,0.0,Mir195a,miRNA
ENSMUSG00000065590,black,black,0.0,Mir212,miRNA
ENSMUSG00000065537,black,black,0.0,Mir132,miRNA
ENSMUSG00000065529,black,black,0.0,Mir22,miRNA
ENSMUSG00000065401,black,black,0.0,Mir144,miRNA
ENSMUSG00000099101,black,black,0.0,Mir7653,miRNA
ENSMUSG00000065395,black,black,0.0,Mir193a,miRNA
ENSMUSG00000065489,black,black,0.0,Mir365-2,miRNA
ENSMUSG00000092985,black,black,0.0,Mir378b,miRNA
ENSMUSG00000098415,black,black,0.0,Mir6928,miRNA
ENSMUSG00000098600,black,black,0.0,Mir6929,miRNA
ENSMUSG00000098863,black,black,0.0,Mir8101,miRNA
ENSMUSG00000098613,black,black,0.0,Mir6931,miRNA
ENSMUSG00000093096,black,black,0.0,Mir3968,miRNA
ENSMUSG00000093539,black,black,0.0,Mir5621,miRNA
ENSMUSG00000098958,black,black,0.0,Mir6933,miRNA
ENSMUSG00000088015,black,black,0.0,Mir1932,miRNA
ENSMUSG00000093264,black,black,0.0,,
ENSMUSG00000092738,black,black,0.0,Mir5135,miRNA
ENSMUSG00000105972,black,black,0.0,Mir1843a,miRNA
ENSMUSG00000105428,black,black,0.0,Mir3068,miRNA
ENSMUSG00000065429,black,black,0.0,Mir345,miRNA
ENSMUSG00000076451,black,black,0.0,Mir770,miRNA
ENSMUSG00000076316,black,black,0.0,Mir673,miRNA
ENSMUSG00000077025,black,black,0.0,Mir493,miRNA
ENSMUSG00000065526,black,black,0.0,Mir337,miRNA
ENSMUSG00000072900,black,black,0.0,Mir540,miRNA
ENSMUSG00000076313,black,black,0.0,Mir665,miRNA
ENSMUSG00000095147,black,black,0.0,,
ENSMUSG00000094952,black,black,0.0,,
ENSMUSG00000070080,black,black,0.0,Mir431,miRNA
ENSMUSG00000070072,black,black,0.0,Mir433,miRNA
ENSMUSG00000070076,black,black,0.0,Mir127,miRNA
ENSMUSG00000070133,black,black,0.0,Mir434,miRNA
ENSMUSG00000070101,black,black,0.0,Mir341,miRNA
ENSMUSG00000080406,black,black,0.0,Mir1188,miRNA
ENSMUSG00000065433,black,black,0.0,Mir370,miRNA
ENSMUSG00000065498,black,black,0.0,Mir379,miRNA
ENSMUSG00000065477,black,black,0.0,Mir411,miRNA
ENSMUSG00000106653,black,black,0.0,Mir299a,miRNA
ENSMUSG00000065577,black,black,0.0,Mir329,miRNA
ENSMUSG00000070141,black,black,0.0,Mir494,miRNA
ENSMUSG00000076145,black,black,0.0,Mir679,miRNA
ENSMUSG00000080411,black,black,0.0,Mir1193,miRNA
ENSMUSG00000076272,black,black,0.0,Mir666,miRNA
ENSMUSG00000076241,black,black,0.0,Mir543,miRNA
ENSMUSG00000070105,black,black,0.0,Mir495,miRNA
ENSMUSG00000076396,black,black,0.0,Mir667,miRNA
ENSMUSG00000076006,black,black,0.0,Mir376c,miRNA
ENSMUSG00000105853,black,black,0.0,Mir376b,miRNA
ENSMUSG00000098807,black,black,0.0,Mir300,miRNA
ENSMUSG00000098838,black,black,0.0,Mir381,miRNA
ENSMUSG00000076219,black,black,0.0,Mir487b,miRNA
ENSMUSG00000099224,black,black,0.0,,
ENSMUSG00000077001,black,black,0.0,Mir544,miRNA
ENSMUSG00000065428,black,black,0.0,Mir382,miRNA
ENSMUSG00000065426,black,black,0.0,Mir134,miRNA
ENSMUSG00000099236,black,black,0.0,Mir668,miRNA
ENSMUSG00000070128,black,black,0.0,Mir485,miRNA
ENSMUSG00000065448,black,black,0.0,Mir154,miRNA
ENSMUSG00000070136,black,black,0.0,Mir496a,miRNA
ENSMUSG00000065438,black,black,0.0,Mir377,miRNA
ENSMUSG00000076052,black,black,0.0,Mir541,miRNA
ENSMUSG00000065570,black,black,0.0,Mir412,miRNA
ENSMUSG00000065561,black,black,0.0,Mir369,miRNA
ENSMUSG00000065497,black,black,0.0,Mir410,miRNA
