	gene_name	DE
346	Mir3103	Up
347	Mir7061	No
350	Mir202	No
351	Mir7062	No
996	Mir210	No
352	Mir7063	Up
354	Mir675	No
355	Mir483	Down
357	Mir3105	Up
358	Mir7654	Down
359	Mir7238	No
361	Mir1968	No
366	Mir383	No
367	Mir7666	No
1014	Mir7240	No
369	Mir7067	No
1015	Mir1969	Down
371	Mir7068	No
1016	Mir28b	No
372	Mir1668	Up
1017	Mir8111	No
373	Mir1199	No
375	Mir181d	No
376	Mir181c	Down
1018	Mir23a	Up
1019	Mir27a	Up
377	Mir7069	No
378	Mir7070	No
1022	Mir8109	No
379	Mir7071	No
380	Mir138-2	Down
382	Mir7073	No
1024	Mir328	Up
383	Mir1966	No
384	Mir7074	No
385	Mir7075	No
386	Mir140	Up
387	Mir3108	No
388	Mir3473d	Up
390	Mir7077	No
392	Mir7687	No
393	Mir7237	No
394	Mir7079	Down
395	Mir7080	Down
398	Mir1903	No
399	Mir5618	No
400	mmu-mir-7650	No
401	Mir7081	No
403	Mir7082	Down
1040	Mir199a-1	Down
404	Mir7083	Down
405	Mir7084	No
406	Mir100	No
407	Mirlet7a-2	No
408	Mir125b-1	No
409	Mir7085	No
411	Mir7087	No
1042	Mir34c	Up
1043	Mir34b	Up
1044	Mir6244	No
412	Mir5710	No
413	Mir5133	No
414	Mir190a	No
415	Mir3109	Up
1049	Mir5626	No
1050	Mir184	No
416	Mir7656	Up
418	Mir135a-1	Down
419	Mirlet7g	No
422	Mir425	No
424	Mir7089	No
1053	Mir6236	Down
426	Mir128-2	No
427	Mir26a-1	No
428	Mir7090	No
429	Mir8106	Up
430	Mir138-1	Down
431	Mir5104	Down
432	Mir7663	Down
433	Mir6905	No
434	Mir1929	No
435	Mir6906	No
436	Mir7662	No
439	Mir1930	No
440	Mir7659	Up
441	Mir6907	No
443	Mir6908	No
444	Mir6909	Up
445	Mir6910	No
446	Mir6911	Up
447	Mir6912	No
448	Mir1982	No
449	Mir3057	No
450	Mir6913	No
451	Mir1191b	Up
452	Mir135a-2	No
453	Mir1251	No
454	Mir1931	Down
1006	Mir7688	Down
455	Mir331	No
457	Mir3058	No
459	Mir763	No
1009	Mir6412	No
461	Mirlet7i	Up
1010	Mir378d	No
462	Mir26a-2	No
463	Mir546	Down
464	Mir677	No
465	Mir6914	No
466	Mir6915	No
1011	Mir8105	No
467	Mir6916	No
469	Mir3060	No
470	Mir6918	No
471	Mir7651	No
472	Mir1933	No
473	Mir216a	No
474	Mir217	Down
475	Mir218-2	Down
476	Mir103-1	No
1058	Mir146	No
477	Mir8100	No
478	Mir340	Down
479	Mir6919	No
480	Mir3061	No
1061	Mir7671	No
482	Mir7652	No
483	Mir6921	No
484	Mir6922	No
485	Mir5100	No
486	Mir744	No
488	Mir3062	No
1064	Mir1934	No
490	Mir324	No
1067	Mir195a	No
491	Mir7115	No
492	Mir6925	No
493	Mir6926	No
494	Mir212	Up
495	Mir132	Up
496	Mir22	Up
498	Mir423	No
1070	Mir144	Down
499	Mir7653	No
1073	Mir193a	Up
1074	Mir365-2	Up
501	Mir21a	Up
502	Mir301	Down
1078	Mir378b	Up
504	Mir3063	Down
1079	Mir196a-1	Down
1080	Mir10a	Down
505	Mir152	Up
506	Mir8103	Up
508	Mir6927	No
1081	Mir8102	No
510	Mir7116	No
511	Mir6928	No
512	Mir6929	No
513	Mir8101	No
515	Mir6931	Up
516	Mir3064	No
517	Mir6932	No
1083	Mir3968	No
518	Mir5621	No
519	Mir6516	Up
520	Mir6933	Up
521	Mir6934	No
