File.accession,File.assembly,Experiment.accession,Assay,Donor.s.,Biosample.term.id,Biosample.term.name,Age,Sex,Tissue_short,Age_short,Sex_short,Rep_short,Sample,tissue_long,age_long,sample_mrna,ENCODE_year,Biosample.type,Biosample.organism,Biological.replicate.s.,Technical.replicate.s.,md5sum,Donor_sample
ENCFF744KFE,mm10,ENCSR658KLA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Male,G,25,M,1,G_25_M_1,gastroc,PND25,gastroc_PND25_m_1,4,tissue,Mus musculus,1,1_1,880a12e546efd297e3e31f57caadfb64,/mouse-donors/ENCDO509HIY/_G_25_M_1
ENCFF383BPF,mm10,ENCSR658KLA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Male,G,25,M,2,G_25_M_2,gastroc,PND25,gastroc_PND25_m_2,4,tissue,Mus musculus,2,2_1,9876ae34b3709576a53c15e74ca25636,/mouse-donors/ENCDO509HIY/_G_25_M_2
ENCFF770MFM,mm10,ENCSR024WYL,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Female,G,36,F,1,G_36_F_1,gastroc,PND36,gastroc_PND36_f_1,4,tissue,Mus musculus,1,1_1,468478bb47670c7b4e0944a89069ce0e,/mouse-donors/ENCDO509HIY/_G_36_F_1
ENCFF887WXS,mm10,ENCSR024WYL,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Female,G,36,F,2,G_36_F_2,gastroc,PND36,gastroc_PND36_f_2,4,tissue,Mus musculus,2,2_1,90d8f0d9cbc9a68ba92c1dc2fc22680a,/mouse-donors/ENCDO509HIY/_G_36_F_2
ENCFF884HHP,mm10,ENCSR590FZA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Male,G,36,M,1,G_36_M_1,gastroc,PND36,gastroc_PND36_m_1,4,tissue,Mus musculus,1,1_1,2f653cc8dc375d134265af8f093c23df,/mouse-donors/ENCDO509HIY/_G_36_M_1
ENCFF615NFM,mm10,ENCSR590FZA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Male,G,36,M,2,G_36_M_2,gastroc,PND36,gastroc_PND36_m_2,4,tissue,Mus musculus,2,2_1,bc9217c117f3e1d064f2f093f8f8033d,/mouse-donors/ENCDO509HIY/_G_36_M_2
ENCFF169NNY,mm10,ENCSR781NKQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_02,Female,G,2m,F,1,G_2m_F_1,gastroc,PNM02,gastroc_PNM02_f_1,4,tissue,Mus musculus,1,1_1,3de3898a66a8d72de0d822ba57240021,/mouse-donors/ENCDO509HIY/_G_2m_F_1
ENCFF119RKV,mm10,ENCSR781NKQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_02,Female,G,2m,F,2,G_2m_F_2,gastroc,PNM02,gastroc_PNM02_f_2,4,tissue,Mus musculus,2,2_1,41831c9fe5d24b14ff40fbe73f85ab61,/mouse-donors/ENCDO509HIY/_G_2m_F_2
ENCFF176PMM,mm10,ENCSR549CLV,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_02,Male,G,2m,M,1,G_2m_M_1,gastroc,PNM02,gastroc_PNM02_m_1,4,tissue,Mus musculus,1,1_1,ab1149c3a8d796d1c4ae2cd52c40b748,/mouse-donors/ENCDO509HIY/_G_2m_M_1
ENCFF928VJI,mm10,ENCSR549CLV,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_02,Male,G,2m,M,2,G_2m_M_2,gastroc,PNM02,gastroc_PNM02_m_2,4,tissue,Mus musculus,2,2_1,7c1e1eade23143f1dd8d6beae2dcae0a,/mouse-donors/ENCDO509HIY/_G_2m_M_2
ENCFF922MWE,mm10,ENCSR968IVY,microRNA-seq,/mouse-donors/ENCDO996MUL/,UBERON:0001388,gastrocnemius,PNM_08,Female,G,8m,F,1,G_8m_F_1,gastroc,PNM08,gastroc_PNM08_f_1,4,tissue,Mus musculus,1,1_1,f30b6423449dea110633d9902243eb26,/mouse-donors/ENCDO996MUL/_G_8m_F_1
ENCFF453JOL,mm10,ENCSR418QXY,microRNA-seq,/mouse-donors/ENCDO996MUL/,UBERON:0001388,gastrocnemius,PNM_08,Male,G,8m,M,1,G_8m_M_1,gastroc,PNM08,gastroc_PNM08_m_1,4,tissue,Mus musculus,1,1_1,82297ec9bd05d22b0681579440208190,/mouse-donors/ENCDO996MUL/_G_8m_M_1
ENCFF790YAN,mm10,ENCSR418QXY,microRNA-seq,/mouse-donors/ENCDO996MUL/,UBERON:0001388,gastrocnemius,PNM_08,Male,G,8m,M,2,G_8m_M_2,gastroc,PNM08,gastroc_PNM08_m_2,4,tissue,Mus musculus,2,2_1,eaf297c30b09c0c26bd172abed83169d,/mouse-donors/ENCDO996MUL/_G_8m_M_2
ENCFF242SMA,mm10,ENCSR656EWH,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_18-20,Female,G,18m,F,1,G_18m_F_1,gastroc,PNM18,gastroc_PNM18_f_1,4,tissue,Mus musculus,1,1_1,f06a76477dedf11aa57a4d931637f5d8,/mouse-donors/ENCDO509HIY/_G_18m_F_1
ENCFF339DQJ,mm10,ENCSR656EWH,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_18-20,Female,G,18m,F,2,G_18m_F_2,gastroc,PNM18,gastroc_PNM18_f_2,4,tissue,Mus musculus,2,2_1,9e4aec87b83ab1e35f74dba8b688a159,/mouse-donors/ENCDO509HIY/_G_18m_F_2
ENCFF565ZRA,mm10,ENCSR230TOQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_18-20,Male,G,18m,M,1,G_18m_M_1,gastroc,PNM18,gastroc_PNM18_m_1,4,tissue,Mus musculus,1,1_1,d9e221e3110d6e74ebe2f9f6bbeff7dc,/mouse-donors/ENCDO509HIY/_G_18m_M_1
ENCFF119JIF,mm10,ENCSR230TOQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PNM_18-20,Male,G,18m,M,2,G_18m_M_2,gastroc,PNM18,gastroc_PNM18_m_2,4,tissue,Mus musculus,2,2_1,bc2bc435beb510c216df5dae250d83f9,/mouse-donors/ENCDO509HIY/_G_18m_M_2
ENCFF398EBM,mm10,ENCSR715NEZ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_10.5,NA,LB,10.5,NA,1,LB_10.5_NA_1,gastroc,E10.5,gastroc_E10.5_na_1,3,tissue,Mus musculus,1,1_1,e70308502cfb3790dfb572d53bdeb0bb,/mouse-donors/ENCDO956IXV/_LB_10.5_NA_1
ENCFF065GME,mm10,ENCSR715NEZ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_10.5,NA,LB,10.5,NA,2,LB_10.5_NA_2,gastroc,E10.5,gastroc_E10.5_na_2,3,tissue,Mus musculus,2,2_1,b4d1f9dd60d5c40836892124e024705d,/mouse-donors/ENCDO956IXV/_LB_10.5_NA_2
ENCFF336AYD,mm10,ENCSR900DXS,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_11.5,NA,LB,11.5,NA,1,LB_11.5_NA_1,gastroc,E11.5,gastroc_E11.5_na_1,3,tissue,Mus musculus,1,1_1,801771e288b508976c32fe1810fff680,/mouse-donors/ENCDO956IXV/_LB_11.5_NA_1
ENCFF116YCG,mm10,ENCSR900DXS,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_11.5,NA,LB,11.5,NA,2,LB_11.5_NA_2,gastroc,E11.5,gastroc_E11.5_na_2,3,tissue,Mus musculus,2,2_1,1303da2d00b37d1e9868899f555035ac,/mouse-donors/ENCDO956IXV/_LB_11.5_NA_2
ENCFF498WOL,mm10,ENCSR618GKP,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_12.5,NA,LB,12.5,NA,1,LB_12.5_NA_1,gastroc,E12.5,gastroc_E12.5_na_1,3,tissue,Mus musculus,1,1_1,07529046359c323129a7a424bd8b13db,/mouse-donors/ENCDO956IXV/_LB_12.5_NA_1
ENCFF755ZZE,mm10,ENCSR618GKP,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_12.5,NA,LB,12.5,NA,2,LB_12.5_NA_2,gastroc,E12.5,gastroc_E12.5_na_2,3,tissue,Mus musculus,2,2_1,8e1310e44de41e5a38b34834831e7a49,/mouse-donors/ENCDO956IXV/_LB_12.5_NA_2
ENCFF093XOF,mm10,ENCSR354YFG,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_13.5,NA,LB,13.5,NA,1,LB_13.5_NA_1,gastroc,E13.5,gastroc_E13.5_na_1,3,tissue,Mus musculus,1,1_1,6cfc68ea9050f082efde48de922ed200,/mouse-donors/ENCDO956IXV/_LB_13.5_NA_1
ENCFF369MXS,mm10,ENCSR354YFG,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_13.5,NA,LB,13.5,NA,2,LB_13.5_NA_2,gastroc,E13.5,gastroc_E13.5_na_2,3,tissue,Mus musculus,2,2_1,995d5a36da7fb5a42ca111ca310a40d2,/mouse-donors/ENCDO956IXV/_LB_13.5_NA_2
ENCFF600EQC,mm10,ENCSR669XBU,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_14.5,NA,LB,14.5,NA,1,LB_14.5_NA_1,gastroc,E14.5,gastroc_E14.5_na_1,3,tissue,Mus musculus,1,1_1,16440d2072141917a60e4317fdd7e4aa,/mouse-donors/ENCDO956IXV/_LB_14.5_NA_1
ENCFF652UEV,mm10,ENCSR669XBU,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_14.5,NA,LB,14.5,NA,2,LB_14.5_NA_2,gastroc,E14.5,gastroc_E14.5_na_2,3,tissue,Mus musculus,2,2_1,4474e7f2db209fa1aaedd307dcc1bcd0,/mouse-donors/ENCDO956IXV/_LB_14.5_NA_2
ENCFF594SYI,mm10,ENCSR070GAZ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_15.5,NA,LB,15.5,NA,1,LB_15.5_NA_1,gastroc,E15.5,gastroc_E15.5_na_1,3,tissue,Mus musculus,1,1_1,5264c52e0fcb7acb2439deefd3869626,/mouse-donors/ENCDO956IXV/_LB_15.5_NA_1
ENCFF792IRA,mm10,ENCSR070GAZ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0002101,limb,ED_15.5,NA,LB,15.5,NA,2,LB_15.5_NA_2,gastroc,E15.5,gastroc_E15.5_na_2,3,tissue,Mus musculus,2,2_1,842dfbfcec257ebed96eba1f26f1ebfe,/mouse-donors/ENCDO956IXV/_LB_15.5_NA_2
ENCFF767VQY,mm10,ENCSR312YTR,microRNA-seq,/mouse-donors/ENCDO321TZV/,CL:0002372,myotube,72hr,Female,MT,NA,F,1,MT_1,myotube,NA,myotube_NA_f_1,3,in vitro differentiated cells,Mus musculus,1,1_1,cd3f9f0a0b06603ce87b76b1760147f0,/mouse-donors/ENCDO321TZV/_MT_1
ENCFF892ZEY,mm10,ENCSR312YTR,microRNA-seq,/mouse-donors/ENCDO321TZV/,CL:0002372,myotube,72hr,Female,MT,NA,F,2,MT_2,myotube,NA,myotube_NA_f_2,3,in vitro differentiated cells,Mus musculus,2,2_1,fc31072fecef955875202c6bf4291fe4,/mouse-donors/ENCDO321TZV/_MT_2
ENCFF431VHL,mm10,ENCSR242CPC,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0001134,skeletal muscle tissue,PND_0,NA,SM,0,NA,1,SM_0_NA_1,skeletal muscle tissue,PND0,skeletal muscle tissue_PND0_na_1,3,tissue,Mus musculus,1,1_1,d0a1643902c4ec72468b4056e4de9037,/mouse-donors/ENCDO956IXV/_SM_0_NA_1
ENCFF629KYY,mm10,ENCSR940JVJ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0001134,skeletal muscle tissue,PND_0,NA_old,SM,0,NA,1,SM_0_NA_old_1,skeletal muscle tissue,PND0,skeletal muscle tissue_PND0_na_1,3,tissue,Mus musculus,1,1_1,d3d339788b3ba12b7deebe83cb05dfab,/mouse-donors/ENCDO956IXV/_SM_0_NA_old_1
ENCFF430EME,mm10,ENCSR242CPC,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0001134,skeletal muscle tissue,PND_0,NA,SM,0,NA,2,SM_0_NA_2,skeletal muscle tissue,PND0,skeletal muscle tissue_PND0_na_2,3,tissue,Mus musculus,2,2_1,ddc17f0749bd4b553eb00f993bf992d1,/mouse-donors/ENCDO956IXV/_SM_0_NA_2
ENCFF007FOL,mm10,ENCSR940JVJ,microRNA-seq,/mouse-donors/ENCDO956IXV/,UBERON:0001134,skeletal muscle tissue,PND_0,NA_old,SM,0,NA,2,SM_0_NA_old_2,skeletal muscle tissue,PND0,skeletal muscle tissue_PND0_na_2,3,tissue,Mus musculus,2,2_1,3707f8f18e4949a4b4776e1bde19f9e6,/mouse-donors/ENCDO956IXV/_SM_0_NA_old_2
Ctrl_0hr_A_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,EFO:0001098,C2C12,0hr,Female,MB,NA,F,1,MB_3,C2C12,NA,C2C12_NA_f_1,3,cell line,Mus musculus,1,1_1,,/mouse-donors/ENCDO321TZV/_MB_3
Ctrl_0hr_B_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,EFO:0001098,C2C12,0hr,Female,MB,NA,F,2,MB_4,C2C12,NA,C2C12_NA_f_2,3,cell line,Mus musculus,2,2_1,,/mouse-donors/ENCDO321TZV/_MB_4
Ctrl_0hr_C_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,EFO:0001098,C2C12,0hr,Female,MB,NA,F,3,MB_5,C2C12,NA,C2C12_NA_f_2,3,cell line,Mus musculus,3,3_1,,/mouse-donors/ENCDO321TZV/_MB_5
Ctrl_72hr_A_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,CL:0002372,myotube,72hr,Female,MT,NA,F,1,MT_3,myotube,NA,myotube_NA_f_1,3,in vitro differentiated cells,Mus musculus,1,1_1,,/mouse-donors/ENCDO321TZV/_MT_3
Ctrl_72hr_B_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,CL:0002372,myotube,72hr,Female,MT,NA,F,2,MT_4,myotube,NA,myotube_NA_f_2,3,in vitro differentiated cells,Mus musculus,2,2_1,,/mouse-donors/ENCDO321TZV/_MT_4
Ctrl_72hr_C_new,mm10,ER_FI_Experiment,microRNA-seq,/mouse-donors/ENCDO321TZV/,CL:0002372,myotube,72hr,Female,MT,NA,F,3,MT_5,myotube,NA,myotube_NA_f_2,3,in vitro differentiated cells,Mus musculus,3,3_1,,/mouse-donors/ENCDO321TZV/_MT_5
