	gene_name	DE
1103	Mir665	Down
1104	Mir3070a	Down
1105	Mir3070b	No
1106	Mir431	Down
1107	Mir433	Down
1108	Mir127	Down
1109	Mir434	Down
547	Mir341	Down
548	Mir1188	Down
549	Mir370	No
1113	Mir379	Down
1114	Mir411	Down
1115	Mir299a	No
1118	Mir1197	No
1119	Mir323	No
1120	Mir758	No
1121	Mir329	Down
1122	Mir494	No
1123	Mir679	No
1124	Mir1193	No
1125	Mir666	Down
1126	Mir543	Down
1127	Mir495	Down
1128	Mir667	Down
1129	Mir376c	Down
1131	Mir376b	Down
1133	Mir300	Down
1134	Mir381	Down
1135	Mir487b	Down
1137	Mir544	Down
550	Mir382	Down
551	Mir134	Down
552	Mir668	Down
553	Mir485	Down
555	Mir154	Down
556	Mir496a	Down
557	Mir377	Down
558	Mir541	No
560	Mir412	Down
561	Mir369	Down
562	Mir410	Down
563	Mir3072	No
564	Mir1247	No
1140	Mir203	No
566	Mir6939	No
571	Mir153	No
1087	Mir1983	Up
576	Mirlet7d	Down
578	Mirlet7a-1	Down
580	Mir6944	No
581	Mir6945	Down
582	Mir874	No
584	Mir7-1	No
585	Mir23b	No
586	Mir27b	No
593	Mir582	No
597	Mir449a	No
598	Mir6946	No
599	Mir3075	No
602	Mir3076	No
603	Mir346	No
1030	Mir378c	Down
607	Mir208a	No
608	Mir208b	Down
612	Mir16-1	No
613	Mir15a	No
614	Mir8098	No
616	Mir598	No
619	Mir6539	Up
1032	Mir320	No
622	Mir5130	No
624	Mir17	Up
625	Mir18	Up
626	Mir19a	Up
627	Mir20a	Up
628	Mir19b-1	Up
629	Mir92-1	Up
1143	Mir599	Up
1144	Mir875	No
636	Mir6951	No
1145	Mir30b	No
639	Mir30d	No
640	Mir151	No
1147	Mir3079	No
648	Mir6956	No
649	Mir1943	No
650	Mir7213	No
652	Mir5113	No
653	Mir33	No
655	Mir3080	Up
657	Mir1249	No
658	Mirlet7c-2	Down
659	Mirlet7b	Down
661	Mir6958	No
664	Mir1291	No
665	Mir6960	No
668	Mir1941	No
670	Mir196a-2	No
671	Mir615	No
672	Mir148b	No
1149	Mir1945	Up
1150	Mir193b	No
1153	Mir484	No
675	Mir130b	Up
676	Mir301b	Up
677	Mir1306	No
678	Mir185	No
679	Mir1224	No
680	Mir7680	No
682	Mir28a	No
684	Mir1947	Up
685	Mir6540	Up
687	Mir3081	Up
689	Mir99a	No
690	Mirlet7c-1	Down
691	Mir125b-2	No
692	Mir155	Up
694	Mir99b	No
696	Mir125a	No
697	Mir5125	No
698	Mir5134	No
699	Mir6965	No
703	Mir6968	No
1166	Mir219a-1	No
711	Mir6971	No
716	Mir6975	No
719	Mir877	No
721	Mir6976	No
1168	Mir7b	No
727	Mir133a-1	Down
730	Mir1948	No
1173	Mir187	No
731	Mir1949	No
732	Mir6979	No
1177	Mir145a	Down
1178	Mir143	Down
740	Mir122	Down
742	Mir7219	No
749	Mir6988	No
1184	Mir194-2	No
1185	Mir192	No
752	Mir6990	No
753	Mir6991	No
756	Mir6994	No
757	Mir204	Down
760	Mir101b	No
1188	Mir3970	Down
761	Mir107	No
1189	Mir8092	No
763	Mir5114	No
765	Mir146b	No
770	Mir5623	No
771	Mir3086	Up
773	Mir500	Down
774	Mir501	No
775	Mir362	No
776	Mir188	No
777	Mir532	Down
778	Mir1198	No
865	Mir221	No
866	Mir222	No
868	Mir363	Up
869	Mir92-2	Up
870	Mir19b-2	Up
871	Mir20b	Up
872	Mir18b	Up
873	Mir106a	Up
874	Mir450b	No
875	Mir450-1	No
876	Mir450-2	Down
877	Mir542	Down
878	Mir351	Down
879	Mir503	No
880	Mir322	No
783	Mir504	No
784	Mir505	Up
881	Mir743	No
887	Mir741	Up
891	Mir881	No
900	Mir201	No
901	Mir547	Down
785	Mir224	No
786	Mir452	No
789	Mir2137	Up
790	Mir5132	No
791	Mir7091	No
795	Mir223	No
796	Mir676	No
797	Mir421	No
799	Mir672	No
905	Mir384	Up
800	Mir325	Up
801	Mir361	No
803	Mir7093	No
909	Mir3475	No
805	Mir652	No
810	Mir1298	No
814	Mirlet7f-2	Down
815	Mir98	Down
